configuration_id,target,quantity,scope,used_for_N3_selection,noise_replicas_are_independent_training_seeds,delta,status,effective_anchor_bank_units,training_seed_count,eligible_group_case_rows,accuracy,accuracy_weighting,min_anchor_bank_units,min_training_seeds
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_diagnostic_development_and_selection,False,False,0.0001,DESCRIPTIVE_SUPPORTED,123,10,5904,0.9955962059620596,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_diagnostic_development_and_selection,False,False,0.00025,DESCRIPTIVE_SUPPORTED,121,10,5616,0.9987947658402203,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_diagnostic_development_and_selection,False,False,0.0005,DESCRIPTIVE_SUPPORTED,104,10,4696,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_diagnostic_development_and_selection,False,False,0.001,DESCRIPTIVE_SUPPORTED,69,10,2952,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_selection_only,False,False,0.0001,INSUFFICIENT_EFFECTIVE_CASES,52,4,2248,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_selection_only,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,30,4,1192,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_selection_only,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,12,4,352,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_selection_only,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_selection_only,False,False,0.0001,INSUFFICIENT_EFFECTIVE_CASES,64,4,3064,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_selection_only,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,63,4,2920,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_selection_only,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,51,4,2368,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_selection_only,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,39,4,1608,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_selection_only,False,False,0.0001,INSUFFICIENT_EFFECTIVE_CASES,23,4,752,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_selection_only,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,4,3,96,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_selection_only,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_selection_only,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_selection_only,False,False,0.0001,INSUFFICIENT_EFFECTIVE_CASES,47,4,2224,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_selection_only,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,42,4,1936,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_selection_only,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,30,4,1384,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_selection_only,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,9,4,384,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_selection_only,False,False,0.0001,INSUFFICIENT_EFFECTIVE_CASES,41,4,1768,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_selection_only,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,26,4,992,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_selection_only,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,6,3,128,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_selection_only,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_selection_only,False,False,0.0001,INSUFFICIENT_EFFECTIVE_CASES,46,4,2208,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_selection_only,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,44,4,1936,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_selection_only,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,36,4,1608,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_selection_only,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,20,4,824,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.0001,DESCRIPTIVE_SUPPORTED,138,10,5960,0.9652626811594204,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.00025,DESCRIPTIVE_SUPPORTED,84,10,3520,0.9801587301587302,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.0005,DESCRIPTIVE_SUPPORTED,35,10,1128,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.0001,DESCRIPTIVE_SUPPORTED,158,10,7576,0.9983649789029536,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.00025,DESCRIPTIVE_SUPPORTED,156,10,7384,0.9987980769230769,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.0005,DESCRIPTIVE_SUPPORTED,136,10,6192,0.9990808823529411,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.001,DESCRIPTIVE_SUPPORTED,107,10,4664,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.0001,DESCRIPTIVE_SUPPORTED,53,10,1800,0.9480345911949686,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,10,7,312,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.0001,DESCRIPTIVE_SUPPORTED,104,10,4960,0.9993189102564103,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.00025,DESCRIPTIVE_SUPPORTED,94,10,4432,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.0005,DESCRIPTIVE_SUPPORTED,71,10,3112,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.001,DESCRIPTIVE_SUPPORTED,22,9,896,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_diagnostic_development_and_selection,False,False,0.0001,DESCRIPTIVE_SUPPORTED,114,10,5104,0.9808296783625731,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_diagnostic_development_and_selection,False,False,0.00025,DESCRIPTIVE_SUPPORTED,75,10,2976,0.9897222222222223,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_diagnostic_development_and_selection,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,19,9,552,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_diagnostic_development_and_selection,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_diagnostic_development_and_selection,False,False,0.0001,DESCRIPTIVE_SUPPORTED,123,10,5904,0.9932249322493224,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_diagnostic_development_and_selection,False,False,0.00025,DESCRIPTIVE_SUPPORTED,121,10,5616,0.9963842975206612,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_diagnostic_development_and_selection,False,False,0.0005,DESCRIPTIVE_SUPPORTED,104,10,4696,0.9987980769230769,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_diagnostic_development_and_selection,False,False,0.001,DESCRIPTIVE_SUPPORTED,69,10,2952,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_selection_only,False,False,0.0001,INSUFFICIENT_EFFECTIVE_CASES,52,4,2248,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_selection_only,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,30,4,1192,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_selection_only,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,12,4,352,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_selection_only,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_selection_only,False,False,0.0001,INSUFFICIENT_EFFECTIVE_CASES,64,4,3064,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_selection_only,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,63,4,2920,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_selection_only,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,51,4,2368,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_selection_only,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,39,4,1608,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_selection_only,False,False,0.0001,INSUFFICIENT_EFFECTIVE_CASES,23,4,752,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_selection_only,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,4,3,96,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_selection_only,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_selection_only,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_selection_only,False,False,0.0001,INSUFFICIENT_EFFECTIVE_CASES,47,4,2224,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_selection_only,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,42,4,1936,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_selection_only,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,30,4,1384,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_selection_only,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,9,4,384,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_selection_only,False,False,0.0001,INSUFFICIENT_EFFECTIVE_CASES,41,4,1768,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_selection_only,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,26,4,992,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_selection_only,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,6,3,128,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_selection_only,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_selection_only,False,False,0.0001,INSUFFICIENT_EFFECTIVE_CASES,46,4,2208,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_selection_only,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,44,4,1936,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_selection_only,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,36,4,1608,,equal_anchor_bank_units_then_group_replica_average,20,5
C5|O_LR_ORIGIN|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,v,legacy_selection_only,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,20,4,824,,equal_anchor_bank_units_then_group_replica_average,20,5
